Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Queens,Forest Hills Gardens,4f188adfe4b0cae4b525a694,Haveli,14,6.8,8
Staten Island,New Brighton,4b9be038f964a520393036e3,Dosa Garden,18,7.9,15
Staten Island,New Dorp,4be74a502468c928505a0243,Taste Of India II,30,8.3,16
Staten Island,Tompkinsville,4b9be038f964a520393036e3,Dosa Garden,18,7.9,15
Brooklyn,Ditmas Park,4db0f4371e729fcc56497f20,Mashallah,19,7.2,7
Brooklyn,Ditmas Park,519ff6c8498e1300ddcbd45c,Anarkali Indian Cuisine,16,7.1,11
Staten Island,Park Hill,0,0,0,0.0,0
Staten Island,Grant City,4be74a502468c928505a0243,Taste Of India II,30,8.3,16
Manhattan,Carnegie Hill,5272ca4511d22488f6895caf,Drunken Munkey,225,8.7,61
Manhattan,Noho,5a1e961c1987ec47beed877d,Baar Baar,175,8.6,42
Manhattan,Civic Center,4bbb9dbded7776b0e1ad3e51,Tamarind TriBeCa,613,9.0,156
Manhattan,Midtown South,49d91c12f964a520015e1fe3,The Kati Roll Company,835,8.6,258
Queens,Jamaica Hills,4bad49a0f964a52041423be3,Annam Brahma,16,8.2,4
Queens,Jamaica Hills,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,10,6.7,6
Queens,Jamaica Hills,4cc08b0900d83704ed474b5c,Sybil's Bakery,9,6.4,3
Queens,Jamaica Hills,0,0,0,0.0,0
Queens,Jamaica Hills,0,0,0,0.0,0
Queens,Astoria Heights,0,0,0,0.0,0
Bronx,Concourse Village,551b7f75498e86c00a0ed2e1,Hungry Bird,8,6.8,4
Manhattan,Sutton Place,4a63bfb4f964a520b3c51fe3,Chola Eclectic Indian Cuisine,159,8.5,58
Manhattan,Turtle Bay,59fcd48c464d6567ed2f5e37,The Kati Roll Company,21,8.7,4
Manhattan,Tudor City,59fcd48c464d6567ed2f5e37,The Kati Roll Company,21,8.7,4
Queens,Blissville,5b931ea69d7468002c3b1382,Adda,171,9.1,40
Brooklyn,Broadway Junction,5539753f498edbace4746b67,Tandoori Masala,12,7.8,2
Brooklyn,Erasmus,564d283d498e6e851df79d87,Great Indian Curry,3,6.3,2
Brooklyn,Erasmus,0,0,0,0.0,0
Queens,Queensbridge,4b1b341bf964a5208af923e3,Five Star Banquet,30,6.4,31
Staten Island,Fox Hills,0,0,0,0.0,0
